File,Size (KB),Original Mean (ms),Selected Mean (ms),Original Median (ms),Selected Median (ms),Original Min (ms),Selected Min (ms),Original Max (ms),Selected Max (ms),Speedup,Faster (%),Data Identical
18_36mm Single Photon Laser 40_3.txt,32.810546875,0.7557731994893402,0.6042455905117095,0.7408064848277718,0.6071299721952528,0.6961770122870803,0.5809389986097813,0.8601650479249656,0.6185139645822346,1.2507715593742414,20.04934933919524,True
18_37mm Single Photon Laser 10.txt,32.849609375,0.7267682056408376,0.6009491975419223,0.7294570095837116,0.6022060115355998,0.6843050359748304,0.5811489536426961,0.7673460058867931,0.6209589773789048,1.2093671288913537,17.312123332083935,True
18_37mm Single Photon Laser 40.txt,32.86328125,0.7386901997961104,0.6145541032310575,0.7338920258916914,0.6136950105428696,0.6859110435470939,0.5971429636701941,0.8000319940038025,0.651619047857821,1.201993764116779,16.804892849440307,True
18_37mm Single Photon Laser 40_3.txt,32.7998046875,0.714120187330991,0.6143309874460101,0.7134990009944886,0.6018574931658804,0.6843749433755875,0.58233697200194,0.7508639828301966,0.7030220003798604,1.1624355631153163,13.973726223584428,True
18_38mm Single Photon Laser 10.txt,32.849609375,0.7207549060694873,0.6491813983302563,0.7072830339893699,0.653749011689797,0.6866089534014463,0.6082479958422482,0.7952129817567766,0.6836759857833385,1.1102519387082308,9.930353180604039,True
18_38mm Single Photon Laser 40.txt,32.86328125,0.7251407892908901,0.6336907972581685,0.720831478247419,0.6231239822227508,0.6848630146123469,0.5789839779026806,0.7940949872136116,0.7649710169062018,1.1443132714383804,12.611342981016133,True
18_38mm Single Photon Laser 40_3.txt,32.8125,0.7249243091791868,0.6094140058849007,0.7217745296657085,0.6098540325183421,0.7026030216366053,0.5842230166308582,0.7649710169062018,0.6325519643723965,1.189543236910939,15.934119166879022,True
18_39mm Single Photon Laser 10.txt,32.84765625,0.726412096992135,0.6008865020703524,0.7154540217015892,0.6016124971210957,0.6931049865670502,0.5831050220876932,0.8351620053872466,0.6150919944047928,1.2089006734038534,17.280218135346075,True
18_39mm Single Photon Laser 40.txt,32.86328125,0.7651322928722948,0.6012216035742313,0.7430760015267879,0.600669503910467,0.7262799772433937,0.5826160195283592,0.8850989979691803,0.6187930121086538,1.272629407066584,21.422529257358267,True
18_39mm Single Photon Laser 40_3.txt,32.818359375,0.7165366958361119,0.617299199802801,0.7191559998318553,0.6094699783716351,0.6784379947930574,0.602590967901051,0.754636013880372,0.6553210550919175,1.1607607721912043,13.84960415984176,True
18_40mm Single Photon Laser 10.txt,32.833984375,0.733019394101575,0.6287461030296981,0.7391299877781421,0.6235784967429936,0.6984830251894891,0.5781460204161704,0.7704200106672943,0.686888990458101,1.1658432403309094,14.22517492864966,True
18_40mm Single Photon Laser 40.txt,32.865234375,0.7237370999064296,0.6256730004679412,0.7235555094666779,0.6216919864527881,0.6954799755476415,0.5870159948244691,0.7599429809488356,0.6773910135962069,1.1567337880412711,13.549685300251554,True
18_40mm Single Photon Laser 40_3.txt,32.8173828125,0.7166904862970114,0.6200089934282005,0.7210069743450731,0.6119494792073965,0.6876569823361933,0.5903679993934929,0.7602919940836728,0.6932439864613116,1.155935629795033,13.48999250266929,True
18_41mm Single Photon Laser 10.txt,32.82421875,0.7259091944433749,0.6173203000798821,0.7140919915400445,0.6112859991844743,0.6958289886824787,0.596723984926939,0.7737720152363181,0.6481269956566393,1.1759036505837264,14.959019006056037,True
18_41mm Single Photon Laser 40.txt,32.8603515625,0.7305957842618227,0.613681401591748,0.7218794780783355,0.6126825173851103,0.7014159928075969,0.5896000075154006,0.8275489672087133,0.6673330208286643,1.1905131593801372,16.002608444860158,True
